吉林建筑大学测勘学院
主点要素:
p1=1.875	p2=1.875	q1=149.972	q2=149.972	T1=686.373	T2=686.373
圆曲线长Ly=747.198	平曲线 L=1347.198	 外矢距 E=72.494	切曲差D=25.548
主点里程桩号：
KZH=155224.535	KHY=155524.535	KQZ=155898.134	KYH=156271.733	KHZ=156571.733
主点坐标：
ZH(x,y) 33670.847,51097.981	HY(x,y) 33854.693,51334.953
YH(x,y) 34159.648,52012.333	HZ(x,y) 34215.177,52307.073

逐桩坐标
桩号      X坐标         Y坐标          切线方位角(d.ms) 左边桩X      左边桩Y      右边桩X      右边桩Y      
156230    34149.459      51971.864      75.161223      34161.306      51968.749      34137.612      51974.979      
156240    34151.977      51981.541      75.332355      34163.84       51978.486      34140.114      51984.596      
156250    34154.447      51991.231      75.503487      34166.325      51988.235      34142.569      51994.227      
156260    34156.869      52000.934      76.07462       34168.762      51997.997      34144.976      52003.871      
156270    34159.242      52010.648      76.245752      34171.149      52007.771      34147.335      52013.525      
156271.73334159.648      52012.333      76.275625      34171.558      52009.466      34147.738      52015.2        
156280    34161.566      52020.374      76.41571       34173.487      52017.556      34149.645      52023.192      
156290    34163.843      52030.112      76.582281      34175.778      52027.351      34151.908      52032.873      
156300    34166.075      52039.859      77.141415      34178.022      52037.153      34154.128      52042.565      
156310    34168.262      52049.617      77.293111      34180.221      52046.964      34156.303      52052.27       
156320    34170.407      52059.385      77.44137       34182.377      52056.783      34158.437      52061.987      
156330    34172.511      52069.161      77.58219       34184.492      52066.608      34160.53       52071.714      
156340    34174.575      52078.945      78.115573      34186.566      52076.44       34162.584      52081.45       
156350    34176.602      52088.738      78.245518      34188.602      52086.278      34164.602      52091.198      
156360    34178.592      52098.538      78.372025      34190.601      52096.121      34166.583      52100.955      
156370    34180.548      52108.345      78.491095      34192.566      52105.97       34168.53       52110.72       
156380    34182.47       52118.158      79.002727      34194.495      52115.822      34170.445      52120.494      
156390    34184.362      52127.978      79.110921      34196.394      52125.68       34172.33       52130.276      
